ncomps	x	y	amplitude	err amplitude	shift	err shift	width	err width	rms	residual	chisq	dof	redchisq	aic
4.0	108.0	720.0	2.316219509399084	0.05394728946720547	11.824219230144678	0.13553765957403943	5.039657023708893	0.1355381647735224	0.08551668009079809	0.0853343630500868	133.8966594301638	113.0	1.1849261896474672	-579.380923180676
4.0	108.0	720.0	0.6655415644942206	0.05620680603889483	45.838443400491975	0.605381388681732	4.9877054044662055	0.6632233584618207	0.08551668009079809	0.0853343630500868	133.8966594301638	113.0	1.1849261896474672	-579.380923180676
4.0	108.0	720.0	0.8627976622680253	0.0734706013491464	58.68137287505746	0.37237339144243925	3.0794765249889275	0.38944285026535247	0.08551668009079809	0.0853343630500868	133.8966594301638	113.0	1.1849261896474672	-579.380923180676
4.0	108.0	720.0	0.31288462718505106	0.03991788371434781	80.27440902772477	1.5560819906304812	9.846872436613825	1.7296887481710284	0.08551668009079809	0.0853343630500868	133.8966594301638	113.0	1.1849261896474672	-579.380923180676
4.0	118.0	720.0	2.407585936073444	0.047680976249546835	13.33515167491243	0.14810164625673386	6.208164641304625	0.15027046945529132	0.053806176336529836	0.0779907636720486	324.7233929917802	113.0	2.8736583450600017	-584.4735418478002
4.0	118.0	720.0	0.6363482789250811	0.19031477360261645	46.72140344023854	0.9909695189380484	6.597929854711978	1.457337514374054	0.053806176336529836	0.0779907636720486	324.7233929917802	113.0	2.8736583450600017	-584.4735418478002
4.0	118.0	720.0	0.6705237703892947	0.10540804712395926	58.89511929924242	0.45340280424103757	2.6837908416499925	0.49375664171844547	0.053806176336529836	0.0779907636720486	324.7233929917802	113.0	2.8736583450600017	-584.4735418478002
4.0	118.0	720.0	0.47361956023230456	0.06073276625011895	67.28977407725178	5.804327853156803	15.299875322717444	3.6449862037001406	0.053806176336529836	0.0779907636720486	324.7233929917802	113.0	2.8736583450600017	-584.4735418478002
2.0	128.0	720.0	1.5436606860119237	0.04686056914682592	13.508535523932213	0.2771448692147693	7.508886259237716	0.28220582849415277	0.06685459210710537	0.09126735574455704	259.0038879444882	119.0	2.176503260037716	-572.5307899095068
2.0	128.0	720.0	1.0363640560138219	0.03531808019531839	55.03104868564794	0.5496971114236054	13.71043994868405	0.588124792184507	0.06685459210710537	0.09126735574455704	259.0038879444882	119.0	2.176503260037716	-572.5307899095068
2.0	258.0	720.0	4.046578341008559	0.09202161664408617	44.40664397232642	0.13085014126068806	4.8108626338026825	0.13982783426164727	0.06229946579291659	0.12243735630278108	713.1870938803686	119.0	5.993168856137551	-463.5599860315502
2.0	258.0	720.0	0.9599264797189189	0.10065109192709534	61.44876805622877	0.503792221155921	3.9506194707019366	0.5265580701460686	0.06229946579291659	0.12243735630278108	713.1870938803686	119.0	5.993168856137551	-463.5599860315502
4.0	268.0	720.0	0.48260471912644554	0.052633311041188756	9.41331164973071	0.7245402417908481	5.7555334991058515	0.7245465116656968	0.06878119670006959	0.09153899728908528	224.95264188596295	113.0	1.990731344123566	-568.9734842279363
4.0	268.0	720.0	4.643486096799547	0.05839277304183366	45.33638190145939	0.07715069746545089	4.884417729885007	0.08377358956431744	0.06878119670006959	0.09153899728908528	224.95264188596295	113.0	1.990731344123566	-568.9734842279363
4.0	268.0	720.0	2.2973354009444424	0.06343323941942969	61.53484937361786	0.14328221548198994	4.03403494504177	0.15087714573457695	0.06878119670006959	0.09153899728908528	224.95264188596295	113.0	1.990731344123566	-568.9734842279363
4.0	268.0	720.0	0.7299996792860277	0.06912651013075168	80.64658889266181	0.3654385298245077	3.3412503512830423	0.36661593314905017	0.06878119670006959	0.09153899728908528	224.95264188596295	113.0	1.990731344123566	-568.9734842279363
3.0	278.0	720.0	3.7980081952974123	0.09147735066148055	47.29885866992623	0.13088375905606753	4.230916924072174	0.13986571978563142	0.07296766397610356	0.13518781776799066	442.25075380876905	116.0	3.8125064983514574	-476.92409388113083
3.0	278.0	720.0	3.740915256618825	0.09262291728923429	62.987344269350956	0.13940822762165767	4.329687752361191	0.17066118146318626	0.07296766397610356	0.13518781776799066	442.25075380876905	116.0	3.8125064983514574	-476.92409388113083
3.0	278.0	720.0	0.9826957743952368	0.08986317456060311	79.06880146531563	0.5121562698754272	4.397512592221505	0.5493334122581163	0.07296766397610356	0.13518781776799066	442.25075380876905	116.0	3.8125064983514574	-476.92409388113083
