ncomps	x	y	amplitude	err amplitude	shift	err shift	width	err width	rms	residual	chisq	dof	redchisq	aic
2.0	408.0	740.0	0.43496214303106906	0.12644725002876683	13.56778330706562	1.6809570743187854	5.002293506893211	1.6809288673774625	0.1044021159515908	0.2008894440388008	516.2696235481492	119.0	4.338400197883606	-374.87504234832375
2.0	408.0	740.0	5.254509397503961	0.096411771592455	67.14566673873327	0.1824322752042918	8.610619072029834	0.18243227826027886	0.1044021159515908	0.2008894440388008	516.2696235481492	119.0	4.338400197883606	-374.87504234832375
1.0	418.0	740.0	6.701153202363632	0.1818705970110512	71.48075916587892	0.35051160104071577	11.183606885941114	0.3505114758818225	0.13116189353837743	0.4575801374693734	1549.9957142537423	122.0	12.704882903719199	-187.11900911162056
1.0	428.0	740.0	8.186556662926131	0.277537238577507	73.49602314425645	0.43124811036986466	11.017920738513535	0.4312483719573413	0.09997233304727687	0.6988422287628784	6120.047848357858	122.0	50.16432662588408	-83.33901813375854
1.0	438.0	740.0	7.82303367607508	0.24336434365469325	73.71898529186726	0.3783869466139413	10.531953957874878	0.3783866449767164	0.0649888562590283	0.5961181790155097	10646.559665710996	122.0	87.26688250582784	-121.80007329274584
1.0	448.0	740.0	5.8785567140655965	0.18369971463757573	71.29127062776978	0.4064841825539756	11.264015709475963	0.4064840119158561	0.20505057026760443	0.4400703377944554	651.674304151966	122.0	5.341592656983328	-183.72076571993256
1.0	458.0	740.0	4.298497535415234	0.16839370920904	69.31544298272387	0.5115586934978755	11.307598120324618	0.5115584704115108	0.36105376468786626	0.393803872267514	177.3057762481502	122.0	1.4533260348209034	-204.9868429964439
1.0	468.0	740.0	3.3842619309727535	0.16201188163914526	68.79725028609032	0.6293430443517438	11.385736962568338	0.6293432035162131	0.36105376468786626	0.38246868881704077	165.23700195194434	122.0	1.354401655343806	-213.79871458829632
1.0	478.0	740.0	3.00694216871195	0.1420529010752899	68.08538450142004	0.647556179224533	11.870021649386556	0.6475559977531127	0.36105376468786626	0.33955805390857213	132.44711186246073	122.0	1.0856320644463995	-241.448390685676
1.0	488.0	740.0	3.135548305505222	0.13286370407177453	67.64633196344744	0.5174571896367163	10.575086795371622	0.5174570318460319	0.36105376468786626	0.2774222466812557	103.22508451222517	122.0	0.8461072501002063	-272.60733062280144
1.0	498.0	740.0	3.807583195861644	0.13448577796262848	68.07901900001728	0.35437027094656487	8.687794204398726	0.3543699998173002	0.36105376468786626	0.2615099208903369	86.88929647138282	122.0	0.7122073481260887	-294.1419601784502
1.0	508.0	740.0	4.733453904756482	0.13838309412398972	68.18920512149164	0.2827569291333892	8.375414700129843	0.2827567777594809	0.07826029225319951	0.30195391120579534	1887.6642958069638	122.0	15.472658162352163	-291.5810089336158
1.0	518.0	740.0	5.914885111246924	0.17121868222039963	69.16522641975398	0.2565675602904928	7.675167574451747	0.25656737226439696	0.09304386499038422	0.35964425676044365	1873.5040731079528	122.0	15.356590763179941	-249.2645507422584
1.0	528.0	740.0	6.656119386759658	0.20191089672913282	69.94359913569151	0.24216303223042396	6.913045906951237	0.24216287021299054	0.06346946832559759	0.399060614852042	5043.046825673815	122.0	41.336449390768976	-221.11757936882094
1.0	538.0	740.0	6.14762966689089	0.17877238362696793	69.6832639972303	0.23497014075574135	6.997150802704274	0.2349699923880142	0.08443244613476397	0.358861698068978	2261.1867326273455	122.0	18.534317480552012	-250.03446458504226
1.0	548.0	740.0	5.627736491609584	0.12176679238588	69.20889013117369	0.18406021956032034	7.366793580883131	0.18406015872928802	0.07150561233377781	0.24951113016072501	1539.8584204858582	122.0	12.621790331851297	-339.60333215478374
1.0	558.0	740.0	4.916553783319798	0.10412637977775135	68.67461796385174	0.19630418463621913	8.026726961984998	0.19630411202483838	0.057347376954397546	0.21152194585085066	1907.4840232249885	122.0	15.63511494446712	-368.0037122312742
1.0	568.0	740.0	4.175541793289172	0.09356590753049486	67.37730167023167	0.2337100613974764	9.031684759221088	0.23370994923756663	0.05859827547190524	0.20814409401327422	1659.85769663379	122.0	13.605390956014672	-379.99082597803425
2.0	578.0	740.0	0.37990538191732115	0.11916805630706975	11.684692066064816	1.8787711120074655	5.185989743007509	1.87876565074255	0.0606147139191342	0.19836070499325806	1409.4658112840657	119.0	11.844250514992149	-385.2609988214331
2.0	578.0	740.0	4.330475286548569	0.0875592714399504	66.88617810046765	0.22430723271750683	9.607328635630939	0.22430725568685164	0.0606147139191342	0.19836070499325806	1409.4658112840657	119.0	11.844250514992149	-385.2609988214331
2.0	588.0	740.0	0.8894760639991044	0.08638334533921493	13.880153137289126	0.6954538473911851	6.200946179830206	0.6954559278248558	0.07102658350382028	0.15753404930673112	644.9202300265496	119.0	5.419497731315543	-443.36178752727176
2.0	588.0	740.0	4.597602907918701	0.06998953652135825	66.55291154971522	0.16605507212176124	9.446779395643413	0.16605592333162644	0.07102658350382028	0.15753404930673112	644.9202300265496	119.0	5.419497731315543	-443.36178752727176
2.0	598.0	740.0	1.2228983092998047	0.08279555574919016	15.423366369945033	0.3746564105502119	4.792318276142564	0.374656424229031	0.08077067658208241	0.13548311457288467	354.0412505260007	119.0	2.9751365590420225	-486.18599682723936
2.0	598.0	740.0	4.692828471083897	0.06170260747642317	65.77186398629986	0.13100699977136074	8.628759638847633	0.13100699855889925	0.08077067658208241	0.13548311457288467	354.0412505260007	119.0	2.9751365590420225	-486.18599682723936
2.0	608.0	740.0	0.9444612986413431	0.10929767249750211	16.19661073110532	0.5289867165404245	3.9600543871500866	0.5289909099120983	0.053792932785351265	0.14692643932015584	1149.1359288350081	119.0	9.656604443991665	-440.63495149480195
